,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,fuel,ignition,output,resolution,resolution_units,run_binary,run_end,run_max_mem_rss_bytes,run_start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
38,burnpro3d/d/00/60/run_00601423-00ba-4edc-85de-c597bb186bcc,2023-07-27T17:04:03.155927,1.0,,"[-928246.0, 1477596.0, -927440.0, 1476900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-20T16:44:36.032464-07:00,1934680,2023-06-20T15:13:20.118932-07:00,-1,4503,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",65.0,2.235
41,burnpro3d/d/00/6d/run_006d5586-0a9c-448a-b307-0036917a908b,2023-07-27T17:04:03.155927,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-15T13:51:13.573728-07:00,2470180,2023-06-15T11:08:55.640920-07:00,-1,11382,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
77,burnpro3d/d/00/d5/run_00d57d95-2227-40ea-b1a8-c2b87d150505,2023-07-27T17:04:03.155927,0.95,,"[-2011072.0, 1581140.0, -2010524.0, 1580484.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-27T16:12:51.127014-07:00,517424,2023-06-27T16:04:29.825894-07:00,-1,3937,0.12,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",270.0,2.235
10,burnpro3d/d/01/37/run_0137bb44-361e-48ed-8feb-42fb64c08352,2023-07-27T17:05:28.453250,1.1,,"[885288.0, 870390.0, 886242.0, 869286.0]","[[x1, y1], [x2, y2]]",,"{'density': None, 'dx': 2, 'dy': 2, 'height': 0.5, 'id': '603d41a4-ecc2-483d-aed5-db0188a935de', 'xlen': None, 'ylen': None}","{'dat': None, 'id': '121dc89e-b034-479a-b0da-c78367823803', 'perc': 2}","{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-04-09T19:36:16.198481-07:00,2454040,2023-04-09T18:24:10.951246-07:00,-1,4921,0.1,1,600,,137.0,3.0
14,burnpro3d/d/01/40/run_0140601b-6702-452f-8bc0-6c66eba330e9,2023-07-27T17:05:28.453250,1.0,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-20T12:23:45.540506-07:00,3919432,2023-06-20T09:53:36.922562-07:00,-1,14997,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",360.0,4.47
16,burnpro3d/d/01/45/run_0145a7a2-dd8a-4ab6-a51e-3adc0fa4b36e,2023-07-27T17:05:28.453250,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T20:36:43.821773-07:00,3917792,2023-06-23T14:48:03.644447-07:00,-1,27251,0.25,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
32,burnpro3d/d/01/7f/run_017fb345-d257-4b8e-83d9-cfd942f20f46,2023-07-27T17:05:28.453250,1.0,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-12T00:21:42.517413-07:00,2427368,2023-07-11T21:19:51.736113-07:00,-1,16374,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",270.0,2.235
36,burnpro3d/d/01/8f/run_018f9550-441b-44e7-a939-7b5a2474c673,2023-07-27T17:05:28.453250,0.9,,"[-939420.0, 1474018.0, -938616.0, 1473212.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T14:18:16.310391-07:00,2275800,2023-07-18T14:16:12.487371-07:00,-1,5983,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",180.0,4.47
42,burnpro3d/d/01/9b/run_019b930f-0754-45d2-8f83-f81b498bb008,2023-07-27T17:05:28.453250,1.0,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:56:29.376715-07:00,1337436,2023-07-18T16:05:32.041669-07:00,-1,5945,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,6.705
67,burnpro3d/d/01/d2/run_01d2f50a-4ce2-4075-a0c1-d766857a1067,2023-07-27T17:05:28.453250,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T21:27:03.239013-07:00,4232996,2023-06-19T15:50:10.308887-07:00,-1,8543,0.09,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",195.0,3.129
78,burnpro3d/d/01/fa/run_01faa078-4076-4d03-8af5-f718208c0f6a,2023-07-27T17:05:28.453250,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T20:26:36.560918-07:00,4245740,2023-06-19T14:54:21.792177-07:00,-1,6705,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",90.0,1.341
92,burnpro3d/d/02/20/run_0220a9c2-356e-4ca0-9a77-627782ee88a9,2023-07-27T17:05:28.453250,0.5,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-05T16:00:41.435265-07:00,2659032,2023-06-05T15:15:57.235810-07:00,-1,4225,0.3,1,600,,120.0,15.0
8,burnpro3d/d/02/5a/run_025a6ef4-0adc-4301-adf6-c9014e2832d8,2023-07-27T17:07:09.509209,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T22:30:33.046107-07:00,4232916,2023-06-19T15:55:24.866765-07:00,-1,8543,0.07,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",195.0,6.705
29,burnpro3d/d/02/90/run_0290190a-af45-4e51-bbde-943877af67f0,2023-07-27T17:07:09.509209,0.3,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-06T11:09:08.159395-07:00,2659828,2023-06-06T10:25:22.577268-07:00,-1,4225,0.1,1,600,,180.0,20.0
32,burnpro3d/d/02/92/run_02928b61-8e6a-49cd-8008-87418aefc096,2023-07-27T17:07:09.509209,0.3,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-05T15:38:16.067011-07:00,2658900,2023-06-05T15:09:28.440526-07:00,-1,4225,0.3,1,600,,120.0,5.0
34,burnpro3d/d/02/98/run_02988364-db45-43f4-88d1-b19063dd7afa,2023-07-27T17:07:09.509209,1.0,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-21T14:13:24.126235-07:00,2461544,2023-07-21T13:15:57.836418-07:00,-1,5918,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
39,burnpro3d/d/02/a0/run_02a00526-849b-4dd3-8d26-b6bf9d68b06d,2023-07-27T17:07:09.509209,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T19:14:29.301921-07:00,452076,2023-06-23T18:36:59.287236-07:00,-1,19838,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,6.705
49,burnpro3d/d/02/b8/run_02b87e78-287d-4a43-959d-772f7cc5f346,2023-07-27T17:07:09.509209,1.0,,"[-928246.0, 1477596.0, -927440.0, 1476900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-28T08:55:42.808043-07:00,1938784,2023-06-28T07:47:40.838221-07:00,-1,3824,0.05,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",15.0,4.47
